ID,Card Name,Attribute,Sub Type,Level,ATK,DEF,Card Text,Card Image,Synchro,Tuner,Xyz,Pendulum,Fusion,Ritual,Effect,Extra Deck,
18,Aqua Madoor,Water,Spellcaster,4,1200,2000,A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.,https://ygoprodeck.com/pics/85639257.jpg,No,No,No,No,No,No,No,No,
19,Archfiend Marmot of Nefariousness,Earth,Beast,2,400,600,An air marmot that has a nefarious horna dnwings.  It attacks by throwing acorns.,https://ygoprodeck.com/pics/75889523.jpg,No,No,No,No,No,No,No,No,
20,Archfiend Soldier,Dark,Fiend,4,1900,1500,An expert at battle who belongs to a crack diabolical unit. He's famous because he always gets the job done.,https://ygoprodeck.com/pics/49881766.jpg,No,No,No,No,No,No,No,No,
21,Armaill,Earth,Warrior,3,700,1300,A strange warrior who manipulates three deadly blades with both hands and his tail.,https://ygoprodeck.com/pics/53153481.jpg,No,No,No,No,No,No,No,No,
22,Armored Lizard,Earth,Reptile,4,1500,1200,A lizard with a very tough hide and a vicious bite.,https://ygoprodeck.com/pics/15480588.jpg,No,No,No,No,No,No,No,No,
23,Armored Starfish,Water,Aqua,4,850,1400,A bluish starfish with a solid hide capable of fending off attacks.,https://ygoprodeck.com/pics/17535588.jpg,No,No,No,No,No,No,No,No,
24,Armored Zombie,Dark,Zombie,3,1500,0,This warrior blindly swings a deadly blade with devastating force.,https://ygoprodeck.com/pics/20277860.jpg,No,No,No,No,No,No,No,No,
25,Atlantean Pikeman,Water,Sea Serpent,2,1400,0,"The Great Ocean Lord, who reigns over the depths, is served by these lancers. Deep-sea creatures exist in fear of facing the stream of attacks their lances are capable of.",https://ygoprodeck.com/pics/26976414.jpg,No,No,No,No,No,No,No,No,
26,Axe Raider,Earth,Warrior,4,1700,1150,An axe-wielding monster of tremendous strength and agility.,https://ygoprodeck.com/pics/48305365.jpg,No,No,No,No,No,No,No,No,
27,B. Skull Dragon,Dark,Dragon,9,3200,2500,"""Summoned Skull"" + ""Red-Eyes B. Dragon""",https://ygoprodeck.com/pics/11901678.jpg,No,No,No,No,Yes,No,No,Yes,
28,Baby Dragon,Wind,Dragon,3,1200,700,"Much more than just a child, this dragon is gifted with untapped power.",https://ygoprodeck.com/pics/88819587.jpg,No,No,No,No,No,No,No,No,
29,Baron of the Fiend Sword,Dark,Fiend,4,1550,800,An aristocrat who wields a sword possessed by a malicious spirit that preys on the weak.,https://ygoprodeck.com/pics/86325596.jpg,No,No,No,No,No,No,No,No,
30,Barox,Dark,Fiend,5,1380,1530,"Frenzied Panda + ""Ryu-Kishin""",https://ygoprodeck.com/pics/6840573.jpg,No,No,No,No,Yes,No,No,Yes,
31,Basic Insect,Earth,Insect,2,500,700,"Usually found traveling in swarms, this creature's ideal environment is the forest.",https://ygoprodeck.com/pics/89091579.jpg,No,No,No,No,No,No,No,No,
32,Battle Footballer,Fire,Machine,4,1000,2100,A cyborg with high defense power. Originally it was invented for a football machine.,https://ygoprodeck.com/pics/48094997.jpg,No,No,No,No,No,No,No,No,
33,Battle Ox,Earth,Beast-Warrior,4,1700,1000,"A monster with tremendous power, it destroys enemies with a swing of its axe.",https://ygoprodeck.com/pics/5053103.jpg,No,No,No,No,No,No,No,No,
34,Battle Steer,Earth,Beast-Warrior,5,1800,1300,"A bull monster often found in the woods, it charges enemy monsters with a pair of deadly horns.",https://ygoprodeck.com/pics/18246479.jpg,No,No,No,No,No,No,No,No,
35,Battle Warrior,Earth,Warrior,3,700,1000,A warrior that fights with his bare hands.,https://ygoprodeck.com/pics/55550921.jpg,No,No,No,No,No,No,No,No,
36,Bean Soldier,Earth,Plant,4,1400,1300,A plant-warrior that attacks with seeds and sword.,https://ygoprodeck.com/pics/84990171.jpg,No,No,No,No,No,No,No,No,
37,Beast of Talwar,Dark,Fiend,6,2400,2150,Only the master of the sword among Fiend-Type monsters is permitted to hold the Talwar.,https://ygoprodeck.com/pics/11761845.jpg,No,No,No,No,No,No,No,No,
38,Beautiful Headhuntress,Earth,Warrior,4,1600,800,A vicious creature that has decapitated numerous enemy monsters.,https://ygoprodeck.com/pics/16899564.jpg,No,No,No,No,No,No,No,No,
39,Beaver Warrior,Earth,Beast-Warrior,4,1200,1500,What this creature lacks in size it makes up for in defense when battling in the prairie.,https://ygoprodeck.com/pics/32452818.jpg,No,No,No,No,No,No,No,No,
40,Beckoned by the World Chalice,Earth,Warrior,4,1800,0,"His battle with the Mekkstrosities never seems to end. Even when their forest was invaded by Mekkstrocious Insects, he stood his ground and inspired the other defenders around him.",https://ygoprodeck.com/pics/58400390.jpg,No,No,No,No,No,No,No,No,
41,Behegon,Water,Aqua,4,1350,1000,"With an enormous maw and massive teeth, this monstrosity is one dangerous and strange serpent from the deep.",https://ygoprodeck.com/pics/94022093.jpg,No,No,No,No,No,No,No,No,
42,Beta the Magnet Warrior,Earth,Rock,4,1700,1600,"Alpha, Beta, and Gamma meld as one to form a powerful monster.",https://ygoprodeck.com/pics/39256679.jpg,No,No,No,No,No,No,No,No,
43,Big Koala,Earth,Beast,7,2700,2000,"A species of huge Des Koala. He's meek, but people are afraid of him because he's very powerful.",https://ygoprodeck.com/pics/42129512.jpg,No,No,No,No,No,No,No,No,
44,Bio-Mage,Light,Fairy,3,1150,1000,A mysterious priest created as a result of the latest advances in biotechnology.,https://ygoprodeck.com/pics/58696829.jpg,No,No,No,No,No,No,No,No,
45,Bitron,Earth,Cyberse,2,200,2000,A new species found in electronic space. There's not much information on it.,https://ygoprodeck.com/pics/36211150.jpg,No,No,No,No,No,No,No,No,
46,Blackland Fire Dragon,Dark,Dragon,4,1500,800,"A dragon that dwells in the depths of darkness, its vulnerability lies in its poor eyesight.",https://ygoprodeck.com/pics/87564352.jpg,No,No,No,No,No,No,No,No,
47,Blade Skater,Earth,Warrior,4,1400,1500,"An image of beauty on the ice, this gorgeous warrior rips her opponents into pieces with her stylish Accel Slicer attack.",https://ygoprodeck.com/pics/97023549.jpg,No,No,No,No,No,No,No,No,
48,Blazing Inpachi,Fire,Pyro,4,1850,0,"A wicked wooden spirit now burning in flames. Its fire attack is powerful, but it will soon be nothing but ashes.",https://ygoprodeck.com/pics/5464695.jpg,No,No,No,No,No,No,No,No,
49,Blocker,Dark,Machine,4,850,1800,"Constructed from several components, this monster can launch them in a pincer attack.",https://ygoprodeck.com/pics/34743446.jpg,No,No,No,No,No,No,No,No,
50,Blue-Eyes Ultimate Dragon,Light,Dragon,12,4500,3800,"""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon""",https://ygoprodeck.com/pics/23995347.jpg,No,No,No,No,Yes,No,No,Yes,
51,Blue-Eyes White Dragon,Light,Dragon,8,3000,2500,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.",https://images-na.ssl-images-amazon.com/images/I/51w%2BdrIAB7L.jpg,No,No,No,No,No,No,No,No,
52,Blue-Winged Crown,Wind,Winged Beast,4,1600,1200,"With hair shaped like a crown and a body incased in bluish white flames, this bird is a formidable sight.",https://ygoprodeck.com/pics/41396436.jpg,No,No,No,No,No,No,No,No,
53,Bolt Penguin,Water,Thunder,3,1100,800,"With each arm forming an electric whip, this monster paralyzes its enemies with electric shocks.",https://ygoprodeck.com/pics/48531733.jpg,No,No,No,No,No,No,No,No,
54,Boneheimer,Water,Aqua,3,850,400,"This monster wanders the seas, sucking dry any creatures it may encounter.",https://ygoprodeck.com/pics/98456117.jpg,No,No,No,No,No,No,No,No,
55,Bottom Dweller,Water,Fish,5,1650,1700,This is one sea creature whose wrath is something monsters fear to face.,https://ygoprodeck.com/pics/81386177.jpg,No,No,No,No,No,No,No,No,
56,Bracchio-Raidus,Water,Dinosaur,6,2200,2000,"""Two-Headed King Rex"" + ""Crawling Dragon #2""",https://ygoprodeck.com/pics/16507828.jpg,No,No,No,No,Yes,No,No,Yes,
57,Bunilla,Earth,Beast,1,150,2050,"This rabbit's got a sweet tooth! He's on a quest for the world's sweetest carrot, and just wants to nibble carrots all day today, tomorrow, and the day after that!",https://ygoprodeck.com/pics/69380702.jpg,No,No,No,No,No,No,No,No,
58,Burglar,Earth,Beast,3,850,800,A sly rat.  He will come at you with his huge left claw.,https://ygoprodeck.com/pics/6297941.jpg,No,No,No,No,No,No,No,No,
59,Celtic Guardian,Earth,Warrior,4,1400,1200,"An elf who learned to wield a sword, he baffles enemies with lightning-swift attacks.",https://ygoprodeck.com/pics/91152256.jpg,No,No,No,No,No,No,No,No,
60,Chamberlain of the Six Samurai,Earth,Warrior,3,200,2000,"The Six Samurai are supported from the shadows by this silent and mysterious warrior. His past is unknown to them, but his countless scars are proof of his experience.",https://ygoprodeck.com/pics/44430454.jpg,No,No,No,No,No,No,No,No,
61,Charcoal Inpachi,Fire,Pyro,1,100,2100,A wicked wooden spirit that has burned out. The barbecue grilled with this charcoal is so awesome that everybody thinks it's priceless.,https://ygoprodeck.com/pics/13179332.jpg,No,No,No,No,No,No,No,No,
62,Charubin the Fire Knight,Fire,Pyro,3,1100,800,"Monster Egg + ""Hinotama Soul""",https://ygoprodeck.com/pics/37421579.jpg,No,No,No,No,Yes,No,No,Yes,
63,Chosen by the World Chalice,Fire,Psychic,3,1600,0,"Inspired by the World Hero legends he heard as a boy, this crusader adds a piece to his armor from every Mekkstrosity he destroys. He has set out on a quest from Fairy Lee to recover the Seven World Legacies and save their world.",https://ygoprodeck.com/pics/22916281.jpg,No,No,No,No,No,No,No,No,
64,Chu-Ske the Mouse Fighter,Earth,Beast,3,1200,0,"A fiery mouse, traveling the world to become the strongest fighter in the world of mice. Be careful not to touch him, or you will get burned.",https://ygoprodeck.com/pics/8508055.jpg,No,No,No,No,No,No,No,No,
65,Claw Reacher,Dark,Fiend,3,1000,800,Stretching arms and razor-sharp claws make this monster a formidable opponent.,https://ygoprodeck.com/pics/41218256.jpg,No,No,No,No,No,No,No,No,
66,Clown Zombie,Dark,Zombie,2,1350,0,A clown revived by the powers of darkenss.  Its deadly dance has sent many monster to their graves.,https://ygoprodeck.com/pics/92667214.jpg,No,No,No,No,No,No,No,No,
67,Corroding Shark,Dark,Zombie,3,1100,700,A zombie shark that can deliver its lethal curse with a spell.,https://ygoprodeck.com/pics/34290067.jpg,No,No,No,No,No,No,No,No,
68,Cosmo Queen,Dark,Spellcaster,8,2900,2450,Queen of the galaxies and mistress of the stars.,https://ygoprodeck.com/pics/38999506.jpg,No,No,No,No,No,No,No,No,
69,Crawling Dragon,Earth,Dragon,5,1600,1400,"This weakened dragon can no longer fly, but it is still a deadly force to be reckoned with.",https://ygoprodeck.com/pics/67494157.jpg,No,No,No,No,No,No,No,No,
70,Crawling Dragon 2,Earth,Dinosaur,4,1600,1200,A powerful dragon with teeth that can grind almost anything to dust.,https://ygoprodeck.com/pics/38289717.jpg,No,No,No,No,No,No,No,No,
71,Crimson Sunbird,Fire,Winged Beast,6,2300,1800,"Faith Bird + ""Skull Red Bird""",https://ygoprodeck.com/pics/46696593.jpg,No,No,No,No,Yes,No,No,Yes,
72,Crowned by the World Chalice,Water,Spellcaster,2,0,2100,"With her magical staff, she can channel the living heart of her world to shield her people from the Mekk-Knights that have overrun it.",https://ygoprodeck.com/pics/95511642.jpg,No,No,No,No,No,No,No,No,
73,Cure Mermaid,Water,Fish,4,1500,800,"As long as this card remains face-up on your side of the field, increase your Life Points by 800 points during each of your Standby Phases.",https://ygoprodeck.com/pics/85802526.jpg,No,No,No,No,No,No,No,No,
74,Curse of Dragon,Dark,Dragon,5,2000,1500,A wicked dragon that taps into dark forces to execute a powerful attack.,https://ygoprodeck.com/pics/28279543.jpg,No,No,No,No,No,No,No,No,
75,Cyber-Tech Alligator,Wind,Machine,5,2500,1600,"Originally a pterodactyl, he was viciously attacked by a dragon. Using the newest technologies, his keeper saved him from near-fatal wounds and brought him back as a powerful Cyborg.",https://ygoprodeck.com/pics/48766543.jpg,No,No,No,No,No,No,No,No,
76,Cycroid,Earth,Machine,3,800,1000,The most lovable and friendly of all the Vehicroids. It can arm itself with training wheels!,https://ygoprodeck.com/pics/45945685.jpg,No,No,No,No,No,No,No,No,
77,D. Human,Earth,Warrior,4,1300,1100,"Gifted with the power of dragons, this warrior wields a sword created from a dragon's fang.",https://ygoprodeck.com/pics/81057959.jpg,No,No,No,No,No,No,No,No,
78,D.D. Trainer,Dark,Fiend,1,100,2000,"A poor goblin that was sucked into a different dimension. However, he's doing his best with his new destiny.",https://ygoprodeck.com/pics/86498013.jpg,No,No,No,No,No,No,No,No,
79,Dancing Elf,Wind,Fairy,1,300,200,An elf that dances across the sky with wings of razor-sharp blades.,https://ygoprodeck.com/pics/59983499.jpg,No,No,No,No,No,No,No,No,
80,Dark Assailant,Dark,Zombie,4,1200,1200,"Armed with the Psycho Sword, this sinister assassin rules the bad land.",https://ygoprodeck.com/pics/41949033.jpg,No,No,No,No,No,No,No,No,
81,Dark Blade,Dark,Warrior,4,1800,1500,"They say he is a dragon-manipulating warrior from the dark world. His attack is tremendous, using his great swords with vicious power.",https://ygoprodeck.com/pics/11321183.jpg,No,No,No,No,No,No,No,No,
82,Dark Gray,Earth,Beast,3,800,900,"Entirely gray, this beast has rarely been seen by mortal eyes.",https://ygoprodeck.com/pics/9159938.jpg,No,No,No,No,No,No,No,No,
83,Dark Magician,Dark,Spellcaster,7,2500,2100,The ultimate wizard in terms of attack and defense.,https://ygoprodeck.com/pics/46986414.jpg,No,No,No,No,No,No,No,No,
84,Dark Rabbit,Dark,Beast,4,1100,1500,"He leaps up, down, and all around! Nobody can lay a hand on this funny bunny.",https://ygoprodeck.com/pics/99261403.jpg,No,No,No,No,No,No,No,No,
85,Dark Titan of Terror,Dark,Fiend,4,1300,1100,"A fiend said to dwell in the world of dreams, it attacks enemies in their sleep.",https://ygoprodeck.com/pics/89494469.jpg,No,No,No,No,No,No,No,No,
86,Dark Witch,Light,Fairy,5,1800,1700,A popular creature in mythology that delivers fatal attacks with a sharp spear.,https://ygoprodeck.com/pics/9765723.jpg,No,No,No,No,No,No,No,No,
87,Darkfire Dragon,Dark,Dragon,4,1500,1250,"Firegrass + ""Petit Dragon""",https://ygoprodeck.com/pics/17881964.jpg,No,No,No,No,Yes,No,No,Yes,
88,Darkfire Soldier 1,Fire,Pyro,4,1700,1150,An explosive expert from a special elite force.,https://ygoprodeck.com/pics/5388481.jpg,No,No,No,No,No,No,No,No,
89,Darkfire Soldier 2,Fire,Pyro,4,1700,1100,A warrior who gained immeasurable power from the heart of a volcano.,https://ygoprodeck.com/pics/78861134.jpg,No,No,No,No,No,No,No,No,
90,Darkworld Thorns,Earth,Plant,3,1200,900,A thorny plant found in the darklands that wraps its body around any unwary travelers.,https://ygoprodeck.com/pics/43500484.jpg,No,No,No,No,No,No,No,No,
91,Deapsea Shark,Water,Fish,5,1900,1600,"Bottom Dweller + ""Tongyo""",https://ygoprodeck.com/pics/28593363.jpg,No,No,No,No,Yes,No,No,Yes,
92,Destroyer Golem,Earth,Rock,4,1500,1000,A golem with a massive right hand for crushing its victims.,https://ygoprodeck.com/pics/73481154.jpg,No,No,No,No,No,No,No,No,
93,Digitron,Earth,Cyberse,2,1500,0,A subspecies found in electronic space. There's little information on it.,https://ygoprodeck.com/pics/32295838.jpg,No,No,No,No,No,No,No,No,
94,Disk Magician,Dark,Machine,4,1350,1000,This monster hides in a saucer and only appears when executing an attack.,https://ygoprodeck.com/pics/76446915.jpg,No,No,No,No,No,No,No,No,
95,Dissolverock,Earth,Rock,3,900,1000,"A monster born in the lava pits, it generates intense heat that can melt away its enemies.",https://ygoprodeck.com/pics/40826495.jpg,No,No,No,No,No,No,No,No,
96,Divine Dragon Ragnarok,Light,Dragon,4,1500,1000,"A legendary dragon sent by the gods as their instrument. Legends say that if provoked, the whole world will sink beneath the sea.",https://ygoprodeck.com/pics/62113340.jpg,No,No,No,No,No,No,No,No,
97,Dokuroyaiba,Fire,Fiend,3,1000,400,A boomerang with brains that will pursue a target to the ends of the earth.,https://ygoprodeck.com/pics/30325729.jpg,No,No,No,No,No,No,No,No,
98,Doma the Angel of Silence,Dark,Fairy,5,1600,1400,This fairy rules over the end of existence.,https://ygoprodeck.com/pics/16972957.jpg,No,No,No,No,No,No,No,No,
99,Dragon Zombie,Dark,Zombie,3,1600,0,A dragon revived by sorcery. Its breath is highly corrosive.,https://ygoprodeck.com/pics/66672569.jpg,No,No,No,No,No,No,No,No,
100,Dragoness the Wicked Knight,Wind,Warrior,3,1200,900,"Armaill + ""One-Eyed Shield Dragon""",https://ygoprodeck.com/pics/70681994.jpg,No,No,No,No,Yes,No,No,Yes,
101,Drooling Lizard,Earth,Reptile,3,900,800,A blood-sucking snake in human form that attacks any living being that passes nearby.,https://ygoprodeck.com/pics/16353197.jpg,No,No,No,No,No,No,No,No,
102,Dungeon Worm,Earth,Insect,5,1800,1500,"Hidden under the floors of a labyrinth, it swallows any who pass above.",https://ygoprodeck.com/pics/51228280.jpg,No,No,No,No,No,No,No,No,
103,Earthbound Spirit,Earth,Fiend,4,500,2000,"A vengeful creature formed by the spirits of fallen warriors, it drags any who dare approach it into the deepest bowels of the earth.",https://ygoprodeck.com/pics/67105242.jpg,No,No,No,No,No,No,No,No,
104,Elemental HERO Avian,Wind,Warrior,3,1000,1000,"A winged Elemental HERO who wheels through the sky and manipulates the wind. His signature move, Featherbreak, gives villainy a blow from sky-high.",https://ygoprodeck.com/pics/21844576.jpg,No,No,No,No,No,No,No,No,
105,Elemental HERO Burstinatrix,Fire,Warrior,3,1200,800,A flame manipulator who was the first Elemental HERO woman. Her Burstfire burns away villainy.,https://ygoprodeck.com/pics/58932615.jpg,No,No,No,No,No,No,No,No,
106,Elemental HERO Clayman,Earth,Warrior,4,800,2000,An Elemental HERO with a clay body built-to-last. He'll preserve his Elemental HERO colleagues at any cost.,https://ygoprodeck.com/pics/84327329.jpg,No,No,No,No,No,No,No,No,
107,Elemental HERO Sparkman,Light,Warrior,4,1600,1400,An Elemental HERO and a warrior of light who proficiently wields many kinds of armaments. His Static Shockwave cuts off the path of villainy.,https://ygoprodeck.com/pics/20721928.jpg,No,No,No,No,No,No,No,No,
108,Empress Judge,Earth,Warrior,6,2100,1700,"Queen's Double + ""Hibikime""",https://ygoprodeck.com/pics/15237615.jpg,No,No,No,No,Yes,No,No,Yes,
109,Empress Mantis,Wind,Insect,6,2200,1400,Queen of an army of giant mantises whose command moves legions.,https://ygoprodeck.com/pics/58818411.jpg,No,No,No,No,No,No,No,No,
110,Enchanting Mermaid,Water,Fish,3,1200,900,A beautiful mermaid that lures voyagers to a watery death.,https://ygoprodeck.com/pics/75376965.jpg,No,No,No,No,No,No,No,No,
111,Evilswarm Heliotrope,Dark,Rock,4,1950,650,".ytilaer a maerd rieht ekam thgim yeht taht os ydob a rof gninraey ,sluos mrawsleetS gniregnil fo sthguoht eht era esehT ""!etanimretxE !etacidarE !etanimilE""",https://ygoprodeck.com/pics/77542832.jpg,No,No,No,No,No,No,No,No,
112,Fairy Dragon,Wind,Dragon,4,1100,1200,This beautiful dragon spirit harbors hidden strength.,https://ygoprodeck.com/pics/20315854.jpg,No,No,No,No,No,No,No,No,
113,Fairy's Gift,Light,Spellcaster,4,1400,1000,This flying monster is known for delivering happiness to all.,https://ygoprodeck.com/pics/68401546.jpg,No,No,No,No,No,No,No,No,
114,Faith Bird,Wind,Winged Beast,4,1500,1100,This long-tailed bird blinds its enemies with mystical light.,https://ygoprodeck.com/pics/75582395.jpg,No,No,No,No,No,No,No,No,
115,Feral Imp,Dark,Fiend,4,1300,1400,"A playful little fiend that lurks in the dark, waiting to attack an unwary enemy.",https://ygoprodeck.com/pics/41392891.jpg,No,No,No,No,No,No,No,No,
116,Fiend Reflection 2,Light,Winged Beast,4,1100,1400,A bird-beast that summons reinforcements with a hand mirror.,https://ygoprodeck.com/pics/2863439.jpg,No,No,No,No,No,No,No,No,
117,Fiend Scorpion,Earth,Insect,2,900,200,"A huge scorpion inhabited by the soul of a fiend. Usually it holds back, but has untapped potential.",https://ygoprodeck.com/pics/26566878.jpg,No,No,No,No,No,No,No,No,
118,Fire Kraken,Fire,Aqua,4,1600,1500,A squid that thrives on fire and heat.,https://ygoprodeck.com/pics/46534755.jpg,No,No,No,No,No,No,No,No,
119,Firegrass,Earth,Plant,2,700,600,A fire-breathing plant found growing near volcanoes.,https://ygoprodeck.com/pics/53293545.jpg,No,No,No,No,No,No,No,No,
120,Firewing Pegasus,Fire,Beast,6,2250,1800,A heavenly stallion soaring through the skies on crimson wings.,https://ygoprodeck.com/pics/27054370.jpg,No,No,No,No,No,No,No,No,
121,Fireyarou,Fire,Pyro,4,1300,1000,A malevolent creature wrapped in flames that attacks enemies with intense fire.,https://ygoprodeck.com/pics/71407486.jpg,No,No,No,No,No,No,No,No,
122,Flame Champion,Fire,Pyro,5,1900,1300,A warrior protected by a flaming shield that nullifies any attack.,https://ygoprodeck.com/pics/42599677.jpg,No,No,No,No,No,No,No,No,
123,Flame Ghost,Dark,Zombie,3,1000,800,"Skull Servant + ""Dissolverock""",https://ygoprodeck.com/pics/58528964.jpg,No,No,No,No,Yes,No,No,Yes,
124,Flame Manipulator,Fire,Spellcaster,3,900,1000,"This Spellcaster attacks enemies with fire-related spells such as Sea of  Flames"" and ""Wall of Fire"".""",https://ygoprodeck.com/pics/34460851.jpg,No,No,No,No,No,No,No,No,
125,Flame Swordsman,Fire,Warrior,5,1800,1600,"""Flame Manipulator + ""Masaki the Legendary Swordsman""",https://ygoprodeck.com/pics/45231177.jpg,No,No,No,No,Yes,No,No,Yes,
126,Flame Viper,Earth,Pyro,2,400,450,A fire-breathing snake whose speed makes it a difficult target.,https://ygoprodeck.com/pics/2830619.jpg,No,No,No,No,No,No,No,No,
127,Flower Wolf,Earth,Beast,5,1800,1400,"Silver Fang + ""Darkworld Thorns""",https://ygoprodeck.com/pics/95952802.jpg,No,No,No,No,Yes,No,No,Yes,
128,Flying Fish,Wind,Fish,4,800,500,Three wishes are granted to those fortunate enough to see this monster in flight.,https://ygoprodeck.com/pics/31987274.jpg,No,No,No,No,No,No,No,No,
129,Flying Kamakiri 2,Wind,Insect,4,1500,800,A flying mantis that feeds primarily on insects.,https://ygoprodeck.com/pics/3134241.jpg,No,No,No,No,No,No,No,No,
130,Flying Penguin,Water,Aqua,4,1200,1000,A very rare penguin that takes to the air with ears shaped like wings.,https://ygoprodeck.com/pics/5628232.jpg,No,No,No,No,No,No,No,No,
131,Frenzied Panda,Earth,Beast,4,1200,1000,A savage beast that carries a big bamboo stick for beating down its enemies.,https://ygoprodeck.com/pics/98818516.jpg,No,No,No,No,No,No,No,No,
132,Frog the Jam,Water,Aqua,2,700,500,"A slime with the head of a frog, it attacks by croaking terribly.",https://ygoprodeck.com/pics/68638985.jpg,No,No,No,No,No,No,No,No,
133,Frostosaurus,Water,Dinosaur,6,2600,1700,"This monster's metabolism enables it to endure long periods of cold, harnessing the power to become a creature of solid ice! Nothing else can withstand such temperatures, especially victims of its glacial rampage.",https://ygoprodeck.com/pics/6631034.jpg,No,No,No,No,No,No,No,No,
134,Fusionist,Earth,Beast,3,900,700,"""Petit Angel"" + ""Mystical Sheep #2""",https://ygoprodeck.com/pics/1641882.jpg,No,No,No,No,Yes,No,No,Yes,
135,Gadget Soldier,Fire,Machine,6,1800,2000,A rust-free machine warrior born to battle.,https://ygoprodeck.com/pics/86281779.jpg,No,No,No,No,No,No,No,No,
136,Gagagigo,Water,Reptile,4,1850,1000,"This young evildoer used to have an evil heart, but by meeting a special person, he discovered justice.",https://ygoprodeck.com/pics/49003308.jpg,No,No,No,No,No,No,No,No,
137,Gaia the Dragon Champion,Wind,Dragon,7,2600,2100,"""Gaia The Fierce Knight"" + ""Curse of Dragon""",https://ygoprodeck.com/pics/66889139.jpg,No,No,No,No,Yes,No,No,Yes,
138,Gaia the Fierce Knight,Earth,Warrior,7,2300,2100,A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.,https://ygoprodeck.com/pics/6368038.jpg,No,No,No,No,No,No,No,No,
